feature,coefficient,absolute_coefficient,direction
categorical__agent_58,0.38105377518433575,0.38105377518433575,higher cancellation score
categorical__agent_441,-0.37981753694691,0.37981753694691,lower cancellation score
categorical__agent_193,-0.37954365945363205,0.37954365945363205,lower cancellation score
categorical__meal_HB,-0.3789122220992811,0.3789122220992811,lower cancellation score
categorical__country_KHM,0.37247782839199184,0.37247782839199184,higher cancellation score
categorical__country_UGA,-0.3695167747112648,0.3695167747112648,lower cancellation score
categorical__agent_112,-0.36836258427969487,0.36836258427969487,lower cancellation score
categorical__agent_290,-0.3682865804289636,0.3682865804289636,lower cancellation score
categorical__agent_71,-0.3635269920713206,0.3635269920713206,lower cancellation score
categorical__country_ATA,-0.3627353054055547,0.3627353054055547,lower cancellation score
categorical__country_MUS,-0.3559019087715558,0.3559019087715558,lower cancellation score
categorical__reserved_room_type_B,-0.35436389589295647,0.35436389589295647,lower cancellation score
categorical__country_THA,0.35396595451121443,0.35396595451121443,higher cancellation score
categorical__agent_461,-0.352115817595496,0.352115817595496,lower cancellation score
categorical__agent_150,-0.34815281005220194,0.34815281005220194,lower cancellation score
categorical__agent_258,-0.3465505810822136,0.3465505810822136,lower cancellation score
categorical__country_IMN,0.34120182924794573,0.34120182924794573,higher cancellation score
categorical__country_HND,0.3337528442607515,0.3337528442607515,higher cancellation score
categorical__agent_20,-0.3313454363793338,0.3313454363793338,lower cancellation score
categorical__agent_404,-0.32991508149617094,0.32991508149617094,lower cancellation score
categorical__agent_107,0.32987562789838715,0.32987562789838715,higher cancellation score
categorical__agent_455,-0.32956791926802687,0.32956791926802687,lower cancellation score
categorical__customer_type_Transient-Party,-0.3287863459639651,0.3287863459639651,lower cancellation score
categorical__country_AZE,0.32719448986279087,0.32719448986279087,higher cancellation score
categorical__agent_510,-0.32078332077831595,0.32078332077831595,lower cancellation score
categorical__agent_303,-0.3207319904276954,0.3207319904276954,lower cancellation score
categorical__country_MNE,-0.319510416043596,0.319510416043596,lower cancellation score
categorical__reserved_room_type_A,-0.3164148840185523,0.3164148840185523,lower cancellation score
categorical__agent_262,0.3076017609756807,0.3076017609756807,higher cancellation score
categorical__agent_350,-0.30448656661414913,0.30448656661414913,lower cancellation score
categorical__agent_67,0.304474226563821,0.304474226563821,higher cancellation score
categorical__country_GLP,0.303752555985625,0.303752555985625,higher cancellation score
categorical__agent_2,-0.30339176545276947,0.30339176545276947,lower cancellation score
categorical__agent_526,-0.30242443333481156,0.30242443333481156,lower cancellation score
categorical__country_CHL,-0.3017130710627599,0.3017130710627599,lower cancellation score
categorical__country_ITA,-0.2958475272430128,0.2958475272430128,lower cancellation score
categorical__agent_174,-0.28557119283548243,0.28557119283548243,lower cancellation score
log_numeric__total_nights,0.28392627215483546,0.28392627215483546,higher cancellation score
categorical__agent_334,0.2835819200489149,0.2835819200489149,higher cancellation score
categorical__agent_248,0.27975000734533984,0.27975000734533984,higher cancellation score
categorical__agent_180,-0.27915263959466097,0.27915263959466097,lower cancellation score
categorical__agent_119,-0.27876813817184903,0.27876813817184903,lower cancellation score
categorical__agent_148,-0.27819669866380603,0.27819669866380603,lower cancellation score
categorical__agent_256,0.27723646482476083,0.27723646482476083,higher cancellation score
categorical__agent_208,0.2770520708256778,0.2770520708256778,higher cancellation score
categorical__country_GRC,-0.27700232150715187,0.27700232150715187,lower cancellation score
categorical__agent_335,-0.2767416012554556,0.2767416012554556,lower cancellation score
categorical__agent_307,0.27638744004597626,0.27638744004597626,higher cancellation score
categorical__agent_155,0.2758101066805163,0.2758101066805163,higher cancellation score
categorical__agent_139,0.2700793073177489,0.2700793073177489,higher cancellation score
categorical__agent_327,-0.26951727010779475,0.26951727010779475,lower cancellation score
categorical__agent_33,-0.26383299428545615,0.26383299428545615,lower cancellation score
categorical__customer_type_Contract,-0.2618684210329136,0.2618684210329136,lower cancellation score
categorical__country_BRB,-0.26091220545691196,0.26091220545691196,lower cancellation score
categorical__country_MOZ,-0.2556114006106314,0.2556114006106314,lower cancellation score
categorical__distribution_channel_GDS,-0.2487764958184208,0.2487764958184208,lower cancellation score
categorical__market_segment_Corporate,-0.24576132601210296,0.24576132601210296,lower cancellation score
categorical__agent_440,0.2436475596487961,0.2436475596487961,higher cancellation score
categorical__agent_122,-0.2321255668188111,0.2321255668188111,lower cancellation score
categorical__agent_296,-0.2285679044543549,0.2285679044543549,lower cancellation score
categorical__agent_93,0.2268806321978349,0.2268806321978349,higher cancellation score
categorical__country_NIC,0.2261359189847368,0.2261359189847368,higher cancellation score
categorical__country_SVN,0.22453443308645452,0.22453443308645452,higher cancellation score
categorical__agent_387,0.2239556878742651,0.2239556878742651,higher cancellation score
categorical__reserved_room_type_C,-0.22285738716064787,0.22285738716064787,lower cancellation score
categorical__distribution_channel_Corporate,-0.2196538701945163,0.2196538701945163,lower cancellation score
categorical__country_CAF,-0.21924856146010674,0.21924856146010674,lower cancellation score
categorical__agent_92,-0.21650559046871226,0.21650559046871226,lower cancellation score
categorical__reserved_room_type_D,-0.2128438142269911,0.2128438142269911,lower cancellation score
categorical__reserved_room_type_F,-0.2127234064594044,0.2127234064594044,lower cancellation score
categorical__agent_427,-0.20654104341724427,0.20654104341724427,lower cancellation score
numeric__company_code_recorded,-0.20614502923548375,0.20614502923548375,lower cancellation score
categorical__agent_154,-0.19850461855090226,0.19850461855090226,lower cancellation score
categorical__hotel_City Hotel,0.19211315242125673,0.19211315242125673,higher cancellation score
categorical__meal_BB,-0.19086988457662504,0.19086988457662504,lower cancellation score
categorical__agent_167,-0.1908221248193703,0.1908221248193703,lower cancellation score
categorical__agent_390,-0.18588267000073636,0.18588267000073636,lower cancellation score
categorical__agent_64,0.18553965418535762,0.18553965418535762,higher cancellation score
categorical__agent_135,-0.18489787213361544,0.18489787213361544,lower cancellation score
numeric__arrival_date_week_number,0.17318003208402266,0.17318003208402266,higher cancellation score
categorical__agent_232,-0.1729563904739483,0.1729563904739483,lower cancellation score
categorical__agent_282,-0.1720256667761648,0.1720256667761648,lower cancellation score
categorical__agent_235,0.17050583677353784,0.17050583677353784,higher cancellation score
categorical__agent_31,-0.16905005672597048,0.16905005672597048,lower cancellation score
categorical__agent_227,-0.16744431862592557,0.16744431862592557,lower cancellation score
categorical__agent_363,-0.16190470330090584,0.16190470330090584,lower cancellation score
