candidate,family,fold,train_rows,validation_rows,training_canceled,validation_canceled,validation_membership_sha256,f1,accuracy,precision,recall,roc_auc,tn,fp,fn,tp,training_f1
rf_03,random_forest,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.508311170212766,0.7511776581426649,0.9661927330173775,0.3448742528476373,0.8952061437674337,14802,107,5809,3058,0.8380990602320992
rf_03,random_forest,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.5790019960079841,0.7798237922251451,0.8946459412780656,0.42799811142587346,0.8906641288913708,15050,427,4846,3626,0.8137056284682462
rf_04,random_forest,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.6078273473989371,0.7961746118109907,0.9815344603381014,0.4402192931295929,0.8808381153838072,15249,71,4799,3774,0.8305326892985917
rf_04,random_forest,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.5059657905715478,0.7509673620457604,0.9724182168056447,0.34194203225442654,0.8948951710751856,14823,86,5835,3032,0.780506740066342
rf_04,random_forest,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.5630957230142566,0.7760658065054908,0.9087562450696818,0.40793201133144474,0.8881727839409334,15130,347,5016,3456,0.7734531848877533
rf_05,random_forest,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.6672164330159682,0.8142133679320303,0.9336970205623164,0.5190715035576811,0.8976430457940848,15004,316,4123,4450,0.9874393877431793
rf_05,random_forest,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.6383782605536583,0.790671265141319,0.8972630718954249,0.4954325025374986,0.8938502241594193,14406,503,4474,4393,0.9905290850628471
rf_05,random_forest,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.6683859875349237,0.8067142678191156,0.850191361399672,0.5506373937677054,0.8853078341049251,14655,822,3807,4665,0.9926379895158803
rf_06,random_forest,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.6283136820447891,0.8034152262168837,0.9768700787401575,0.46308176834247056,0.8850098783021199,15226,94,4603,3970,0.8622042097006145
rf_06,random_forest,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.5262295081967213,0.7568977119784657,0.963096309630963,0.36201646554640804,0.8907357014041267,14786,123,5657,3210,0.8364588165131536
rf_06,random_forest,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.6130321192561856,0.7897198212869013,0.8782474680757376,0.47084513692162416,0.8917812179857125,14924,553,4483,3989,0.8173024671231388
rf_07,random_forest,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.6037186742118027,0.7948353074122128,0.9834079536476166,0.4355534818616587,0.8672584536612152,15257,63,4839,3734,0.8035202905636656
rf_07,random_forest,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.5065516399446569,0.7449949528936743,0.9099415204678363,0.3509642494643059,0.8730598577500012,14601,308,5755,3112,0.7579342589968829
rf_07,random_forest,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.6087962962962963,0.7883001377928097,0.8790106951871658,0.4656515580736544,0.8733126443741217,14934,543,4527,3945,0.7684627610754181
rf_08,random_forest,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.6036246476037052,0.7940400954254384,0.9752732951587715,0.4370698705237373,0.8649735538040829,15225,95,4826,3747,0.7994689770821688
rf_08,random_forest,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.5297907883223292,0.7513879542395693,0.8990280777537797,0.375549791361227,0.8728936526418991,14535,374,5537,3330,0.7752265025243793
